1,87,57,32
2,88,68,31
3,100,81,18
4,97,76,44
5,91,75,37
6,92,65,15
7,93,70,32
8,94,63,25
9,87,56,21
10,85,62,20
11,88,70,40
12,80,53,20
13,87,54,12
14,90,70,36
15,94,82,28
16,91,61,35
17,82,42,17
18,82,60,26
19,92,76,20
20,91,54,14
21,89,62,24
22,97,55,30
23,84,63,39
24,93,70,23
25,94,72,29
26,92,82,35
27,80,69,33
28,90,58,21
29,93,60,26
30,81,57,23
31,78,52,26
32,88,64,23
33,89,67,14
34,95,67,37
35,91,57,22
36,92,56,16
37,86,62,34
38,76,53,30
39,92,65,26
40,86,57,30
41,93,72,37
42,91,75,33
43,85,52,14
44,90,45,19
45,80,60,24
46,82,50,17
47,87,54,22
48,96,76,38
49,92,61,19
50,82,61,29
51,82,74,42
52,89,78,26
53,78,57,26
54,100,68,36
55,76,61,15
56,78,65,21
57,89,58,37
58,82,70,32
59,96,84,36
60,90,78,31
61,96,70,40
62,89,71,36
63,96,74,22
64,94,66,33
65,80,48,20
66,88,65,15
67,77,42,20
68,90,75,37
69,96,86,41
70,88,68,24
71,90,80,45
72,90,74,41
73,100,58,19
74,100,65,20
75,95,78,34
76,82,58,27
77,84,60,23
78,88,67,29
79,81,72,50
80,93,65,30
81,82,42,14
82,88,66,37
83,93,70,44
84,90,68,36
85,91,69,17
86,92,60,28
87,87,77,40
88,90,62,18
89,95,69,23
90,96,77,38
91,96,57,23
92,85,70,29
93,96,80,42
94,93,70,41
95,85,69,30
96,85,62,34
97,90,74,34
98,86,66,19
99,92,72,20
100,87,48,27
101,92,67,25
102,81,50,21
103,91,64,26
104,84,62,28
105,76,64,40
106,89,71,21
107,94,73,34
108,100,78,39
109,85,78,50
110,76,50,21
111,73,51,31
112,80,56,24
113,95,70,45
114,82,52,28
115,79,54,16
116,95,76,32
117,91,52,14
118,84,54,29
119,93,68,37
120,93,73,33
121,87,40,17
122,82,55,31
123,72,37,10
124,91,67,29
125,89,63,26
126,85,52,32
127,85,64,17
128,94,78,47
129,91,62,16
130,93,63,16
131,90,74,31
132,89,84,47
133,90,66,33
134,92,69,34
135,90,70,30
136,85,76,33
137,92,70,40
138,90,72,39
139,96,71,17
140,84,81,25
141,89,60,17
142,95,80,24
143,93,68,27
144,92,74,33
145,85,65,29
146,86,62,20
147,65,51,11
148,89,75,27
149,96,66,44
